question,pmid,abstract,translation1,translation2
23,17443661,"""Inborn errors of metabolism,"" first recognized 100 years ago by Garrod, were seen as transforming evidence for chemical and biological individuality. Phenylketonuria (PKU), a Mendelian autosomal recessive phenotype, was identified in 1934 by Asbjörn Fölling. It is a disease with impaired postnatal cognitive development resulting from a neurotoxic effect of hyperphenylalaninemia (HPA). Its metabolic phenotype is accountable to multifactorial origins both in nurture, where the normal nutritional experience introduces L-phenylalanine, and in nature, where mutations (>500 alleles) occur in the phenylalanine hydroxylase gene (PAH) on chromosome 12q23.2 encoding the L-phenylalanine hydroxylase enzyme (EC 1.14.16.1). The PAH enzyme converts phenylalanine to tyrosine in the presence of molecular oxygen and catalytic amounts of tetrahydrobiopterin (BH4), its nonprotein cofactor. PKU is among the first of the human genetic diseases to enter, through newborn screening, the domain of public health, and to show a treatment effect. This effect caused a paradigm shift in attitudes about genetic disease. The PKU story contains many messages, including: a framework on which to appreciate the complexity of PKU in which phenotype reflects both locus-specific and genomic components; what the human PAH gene tells us about human population genetics and evolution of modern humans; and how our interest in PKU is served by a locus-specific mutation database (http://www.pahdb.mcgill.ca; last accessed 20 March 2007). The individual Mendelian PKU phenotype has no ""simple"" or single explanation; every patient has her/his own complex PKU phenotype and will be treated accordingly. Knowledge about PKU reveals genomic components of both disease and health.","""Inborn errors of metabolism,"" first identified 100 years ago by Garrod, are metabolic errors from birth and important evidence for chemical and biological individuality. Asbjörn Fölling identified phenylketonuria (PKU), an inherited physical disorder, in 1934. PKU impairs cognitive development due to toxic buildup of a specific molecule, phenylalanine. The metabolic characteristics of PKU occur due to nurture, in which a normal diet includes the molecule L-phenylalanine, and nature, where DNA mutations influence the gene that creates the L-phenylalanine breakdown enzyme. The phenylalanine breakdown enzyme converts PKU into another molecule, tyrosine, using oxygen and non-protein helpers. PKU is among the first genetic diseases to enter, via newborn testing, publich health and demonstrate the use of successful treatment. This success of treatment has shifted attitudes about genetic diseases. PKU shows how DNA and genes affect physical traits, how modern humans have evolved, and how genetic databases now exist to document genetic mutations. Every individual has unique, physical characteristics involving PKU that require unique treatment. PKU shows the genetic components of disease and health.","""Inborn errors of metabolism,"" or inherited disorders in which the body cannot properly turn food into energy, first seen by a doctor 100 years ago, were important support for the idea that people have different chemical and biological makeups. Phenylketonuria (PKU), a disorder inherited from both parents, was discovered in 1934 by a doctor. It causes intellectual disability from damage to the brain caused by too much phenylalanine in the blood. Observable PKU symptoms vary due to nurture, where normal foods contain L-phenylalanine, and in nature, where many changes happen in the gene for phenylalanine hydroxylase (PAH) that controls the L-phenylalanine hydroxylase protein, which helps convert phenylalanine into energy. The PAH protein converts phenylalanine, one molecule, to tyrosine, another molecule. Through checks for conditions that affect newborns, PKU is one of the first inherited diseases to be prevented in the community with successful treatments. Successful treatments caused a change in thinking about inherited disease. The history of PKU provides a lot of information including a way to grasp how complicated the disease is and where observable symptoms depend on both gene location and makeup; what the human PAH gene tells us about the genetics and evolution of humans; and how our understanding of PKU is helped by a database on where gene changes happen. Observable PKU symptoms have no ""simple"" or single explanation; every patient is different and will be treated at an individual level. PKU knowledge shows that genes play a role in both disease and health."
45,34692658,"Pressure ulcer (PU) is a worldwide problem that is hard to heal because of its prolonged inflammatory response and impaired ECM deposition caused by local hypoxia and repeated ischemia/reperfusion. Our previous study discovered that the non-fouling zwitterionic sulfated poly (sulfobetaine methacrylate) (SBMA) hydrogel can improve PU healing with rapid ECM rebuilding. However, the mechanism of the SBMA hydrogel in promoting ECM rebuilding is unclear. Therefore, in this work, the impact of the SBMA hydrogel on ECM reconstruction is comprehensively studied, and the underlying mechanism is intensively investigated in a rat PU model. The in vivo data demonstrate that compared to the PEG hydrogel, the SBMA hydrogel enhances the ECM remolding by the upregulation of fibronectin and laminin expression as well as the inhibition of MMP-2. Further investigation reveals that the decreased MMP-2 expression of zwitterionic SBMA hydrogel treatment is due to the activation of autophagy through the inhibited PI3K/Akt/mTOR signaling pathway and reduced inflammation. The association of autophagy with ECM remodeling may provide a way in guiding the design of biomaterial-based wound dressing for chronic wound repair.","Bedsores are a worldwide problem that is hard to heal because it causes long-lasting inflammation (redness and swelling from fighting an infection) and harms the extracellular matrix (ECM; secreted by cells and surrounds cells in tissues) from not enough oxygen and blood flow. The study we did before found that non-fouling zwitterionic (inner salts to which proteins and bacteria cannot stick) sulfated poly (sulfobetaine methacrylate) (SBMA) hydrogel can improve bedsore healing and quickly rebuild ECM. However, scientists are unsure how SBMA hydrogel rebuilds ECM. In this study, we look at how SBMA hydrogel rebuilds ECM using a rat bedsore model. SMBA hydrogel helps remodel ECM better than PEG hydrogel, another bedsore treatment. The relationship between autophagy (cleaning out of damaged cells) with ECM remodeling may influence the design of wound dressings with substances that interact with biological systems for long-term wound repair.",
12,26854761,"Purpose of review: This article presents recent findings and perspectives on the relationship between early-life respiratory infections and asthma inception, and discusses emerging concepts on strategies that target these infectious agents for asthma prevention. Recent findings: Cumulative evidence supports the role of early-life viral infections, especially respiratory syncytial virus and human rhinovirus, as major antecedents of childhood asthma. These viruses may have different mechanistic roles in the pathogenesis of asthma. The airway microbiome and virus-bacteria interactions in early life have emerged as additional determinants of childhood asthma. Innovative strategies for the prevention of these early-life infections, or for attenuation of acute infection severity, are being investigated and may identify effective strategies for the primary and secondary prevention of childhood asthma. Summary: Early-life infections are major determinants of asthma development. The pathway from early-life infections to asthma is the result of complex interactions between the specific type of the virus, genetic, and environmental factors. Novel intervention strategies that target these infectious agents have been investigated in proof-of-concepts trials, and further study is necessary to determine their capacity for asthma prevention.","This article describes the relationship between early-life respiratory infections (infections in the lungs that impact breathing and occur in the first few years of life) and how asthma begins. The article also discusses new strategies to prevent asthma by stopping these infections. Viruses that occur in early life, especially respiratory syncytial virus (a contagious virus that infects the lungs and airway tubes) and human rhinovirus (the common cold), usually occur before asthma starts. These viruses may have different roles in how asthma develops. How airway microbiome (micro-organisms such as bacteria in the lungs) interact with bacteria from viruses may determine that a child will develop asthma. New strategies for preventing these infections that occur early in life, or for weakening the symptoms of infections, are being investigated and may help prevent childhood asthma. In summary, early-life infections are major factors of asthma development. How these early-life infections lead to asthma is from the reactions between the virus, genes, and the environment. New treatment and therapy strategies that target these infections have been researched, and more studies are needed to see if they will help prevent asthma.",
31,32279716,"Tardive dyskinesia (TD) is an iatrogenic condition that encompasses a wide phenomenological spectrum of movement disorders caused by exposure to dopamine receptor blocking agents (DRBAs). TD may cause troublesome or disabling symptoms that impair quality of life. Due to frequent, often inappropriate, use of DRBAs, TD prevalence rates among patients exposed to DRBAs continue to be high. The judicious use of DRBAs is key to the prevention of TD, reduction of disease burden, and achieving lasting remission. Dopamine-depleting vesicular monoamine transporter type 2 inhibitors are considered the treatment of choice of TD.","Tardive dyskinesia (TD) is a condition that includes a wide range of uncontrollable movement disorders caused by taking antipsychotics. TD may cause physical and emotional pain or suffering that negatively affects quality of life. The total number of TD cases in patients who have taken antipsychotics at a given time continues to be high due to frequent, often unnecessary, antipsychotic use. Sensible use of antipsychotics is needed to prevent, reduce disability and death associated with, and end TD for good. Vesicular monoamine transporter type 2 (VMAT2) inhibitors, drugs that reduce dopamine (a chemical messenger released when your brain is expecting a reward), are the best treatment for TD.",
37,32632575,"Herpes zoster is an acute, painful, herpes skin disease caused by varicella-zoster virus, which may cause viral meningitis. Pregabalin has been shown to be efficacious in the treatment of pain in patients with herpes zoster. However, it has the side effects of neurotoxicity. We describe a 68-year-old female patient with herpes zoster, and she was treated with pregabalin. The patient presented with stuttering and frequent blepharospasm after 3 days of pregabalin treatment. Pregabalin was discontinued, the symptoms of stuttering and frequent blepharospasm completely resolved without any special treatment after one week. In this case, the etiology of stuttering and frequent blepharospasm may be related to pregabalin. Clinicians should be alert to the rare symptoms associated with the use of pregabalin.","Herpes zoster is an acute, painful, herpes skin disease. It is caused by the varicella-zoster virus. The virus may cause viral meningitis or inflammation of the brain and spinal cord. Pregabalin, a nerve pain medication, has been shown to be effecive in the treatment of pain in patients with herpes zoster. However, it can cause neurotoxicity or alteration of the normal acitivty of the nervous system (brain and spinal cord). This study describes a 68-year-old female patient with herpes zoster, and she was treated with pregabalin. The patient presented with stuttering and frequent, uncontrollable movement of the eyelids after 3 days of pregabalin treatment. Pregabalin was no longer given to the patient. The symptoms of stuttering and frequent eyelid movement completely resolved without any special treatment after one week. In this case, the onset of stuttering and frequent eyelid movement may be related to pregabalin. Clinicians should be alert to the rare symptoms associated with the use of pregabalin.","Herpes zoster (shingles) is an immediate, painful, skin disease involved with reactivating the chickenpox virus. It may cause viral meningitis (inflamation of the brain and spine). Pregabalin, common nerve pain medication, helps treat pain from herpes zoster. However, pregabalin can be toxic to the nervous system. We describe a 68-year-old female with herpes zoster and treated with pregabalin. The patient had stuttering and frequent eye twitching after 3 days of using pregabalin. Pregabalin use was stopped. The symptoms of stuttering and eye twitching completely stopped without any special treatment after one week. In this case, the cause of stuttering and eye twitching may be linked to pregabalin. Clinicians should be alert to the rare symptoms linked with pregabalin use."
39,34599830,"Recent studies have shown that nitric oxide (NO) is a central mediator in diseases occurring with thoracic aortic aneurysm (TAA), such as Marfan syndrome (MFS). The progressive dilation of the aorta in TAA ultimately leads to aortic dissection. Unfortunately, current medical treatments neither halt aortic enlargement nor prevent rupture, leaving surgical repair as the only effective treatment. There is therefore a pressing need for effective therapies to delay or even avoid the need for surgical repair in TAA patients. Here, we summarize the mechanisms through which NO signalling dysregulation causes TAA, particularly in MFS and discuss recent advances based on the identification of new MFS mediators related to pathway overactivation that represent potential disease biomarkers. Likewise, we propose iNOS, sGC, and PRKG1, whose pharmacological inhibition reverses aortopathy in MFS mice, as targets for therapeutic intervention in TAA and candidates for clinical trials.","Recent studies have shown that nitric oxide (NO) is a key mediator (regulator) in diseases occurring with thoracic aortic aneurysm (TAA), such as Marfan syndrome (MFS). Thoracic aortic aneurysm is characterized by an abnormal bulge in the blood vessel. The progressive dilation, or widening, of the aorta (the largest human artery) in TAA ultimately leads to aortic dissection. This is a tear in the inner layer of the blood artery. Unfortunately, current medical treatments neither halt aortic enlargement nor prevent rupture. This leaves surgical repair as the only effective treatment. There is a need for effective therapies to delay or even avoid the need for surgical repair in TAA patients. This paper summarizes the ways NO signaling dysregulation (or dysfunction) causes TAA, particularly in MFS. Additionally, this paper will discuss recent advances on the identification of new MFS mediators that represent potential biomarkers. Biomarkers are measurable, biological substances that can indicate disease in a patient. The authors propose several biological substances as targets for therapeutic intervention in TAA and candidates for clinical trials.",
43,30252257,"Pacemakers are adjustable artificial electrical pulse generators, frequently emitting a pulse with a duration between 0.5 and 25 milliseconds with an output of 0.1 to 15 volts, at a frequency up to 300 times per minute. The cardiologist or pacemaker technologist will be able to interrogate and control the pacing rate, the pulse width, and the voltage, whether the device is temporary or permanent. Pacemakers are typically categorized as external or internal. The external variety is almost always placed for temporary stabilization of the patient or to facilitate some type of surgical procedure. The implantable type is usually permanent and often, significantly more complex than the temporary, external variety. Pacemakers are one type of cardiac implantable electronic devices (known as CIED). This broad category also includes implantable cardioverter-defibrillators (ICDs). Collectively, this group of devices was first introduced in the 1950s, shortly after the advent of the transistor. As technology has improved, so has the pacemaker device. The first implantable ICD was developed in 1980, and since that time, it has become more difficult to differentiate between pacemakers and ICDs. This is because every ICD currently implanted has an anti-bradycardia pacing function. It is critical for the patient and any health care provider to understand which device has been implanted to prevent unnecessary ICD therapy. This is most likely to occur with any electromagnetic interference (EMI) and could lead to activation of the device (if it is an ICD). Most types of CIED use several insulated lead wires with non-insulated tips that are implanted in the heart, either by percutaneous vein insertion or directly by a cardiac surgeon. Cardiac pacemakers are made up of two parts: the pulse generator and the leads or electrodes.","Pacemakers are adjustable artificial electrical pulse generators commonly to aid heart rate, frequently emitting a pulse between 0.5 and 25 milliseconds with 0.1 to 15 volts, up to 300 times per minute. The heart specialist or pacemaker technologist can assess and control the pacing rate, pulse width, voltage, and whether the device is temporary or permanent. Pacemakers are usually categorized as external or internal. The external type is almost always placed for temporary stabilization of the patient or to help some type of surgery. The implantable type is usually permanent and often, more complex than the temporary, external type. Pacemakers are one type of heart-related or cardiac implantable electronic devices (or CIED). CIEDs also include implantable cardioverter-defibrillators (ICDs), which corrects irregular heart beats. Together, this group of devices was first introduced in the 1950s, shortly after the transistor, which alters electrical signals. As technology improved, so has the pacemaker. The first implantable ICD was created in 1980. Since then, it has become more difficult to differentiate between pacemakers and ICDs. This difficulty is because every ICD currently implanted aids against a slow heart rate. It is important for the patient and clinician to know which device has been implanted to prevent unnecessary ICD therapy. This is likely to occur with any electromagnetic interference (EMI) and may activate the device (if it is an ICD). Most types of CIEDs use many electrically-isolated lead wires with non-electrically-isolated tips impanted in the heart, either by skin vein insertion or directly by a heart surgeon. Heart-related pacemakers are made of the pulse generator and the leads or electrical contact points.","Pacemakers are devices that generate artificial electrical pulses. A heart specialist or pacemaker technologist will be able to control the pacing rate and other functions, whether the device is temporary or permanent. Pacemakers are typically categorized as external (main device is outside the body) or internal (device is implanted in the body). The external variety is almost always placed to temporarily stabilize the patient or to assist some type of surgical procedure. The implantable type is usually permanent and often much more complex than the temporary, external variety. Pacemakers are one type of a cardiac implantable electronic device (known as CIED). This broad category also includes implantable cardioverter-defibrillators (ICDs), which are devices designed to directly treat a slow heart rate. Collectively, this group of devices was first introduced in the 1950s, shortly after the creation of the transistor that can record electrical activity inside heart cells. As technology has improved, so has the pacemaker device. The first implantable ICD was developed in 1980, and since that time, it has become more difficult to tell the difference between pacemakers and ICDs. This is because every ICD currently implanted has an anti-bradycardia (anti-slow-heart-rate) pacing function. It is critical for the patient and any health care provider to understand which device has been implanted to prevent unnecessary ICD therapy. This is most likely to occur with interference by another electrical device and could lead to activation of the device (if it is an ICD). Most types of cardiac implantable electronic devices (CIED) use several insulated lead wires with non-insulated tips that are implanted in the heart, either by inserting a catheter into a vein or directly by a heart surgeon. Pacemakers in the heart are made up of two parts: the pulse generator and the leads or electrodes."
33,7665723,"Gabapentin is an anticonvulsant drug, which in man is cleared solely by renal excretion and is not bound to plasma proteins. Because the clearance of gabapentin is dependent on renal function, the pharmacokinetics of gabapentin were investigated in anuric subjects maintained on hemodialysis. Plasma samples were obtained over an 8-day period after administration of single oral 400-mg doses of gabapentin. Pre- and post-dialyzer plasma samples and dialysate samples from quantitative collection of dialyzer effluent were obtained during hemodialysis sessions performed 2, 4, and 7 days after dosing. A mean (SD) maximum gabapentin plasma concentration of 6.0 (2.4) micrograms/mL was achieved at 4.7 (2.1) hours post-dose. The elimination half-life of gabapentin on non-hemodialysis days averaged 132 hours. Approximately 35% of the gabapentin dose was recovered in dialysate, and mean hemodialysis clearance of gabapentin was 142 (26) mL/min; approximately 93% of the dialyzer creatinine clearance. Gabapentin elimination half-life during hemodialysis was approximately 4 hours. Systemic plasma gabapentin concentrations increased approximately 30% during the first 2 hours after hemodialysis as a result of drug redistribution in the body. It is recommended that patients with end-stage renal disease maintained on hemodialysis receive an initial 300-mg to 400-mg gabapentin loading dose. Plasma gabapentin concentrations can be maintained by giving 200 to 300 mg of gabapentin after every 4 hours of hemodialysis.","Gabapentin is a nerve-related pain drug, which in humans is cleared from the body solely by the kidneys and is not attached to proteins in plasma (the liquid part of blood). Because the clearance of gabapentin depends on the kidneys, how the body processes gabapentin is investigated in patients who do not make enough urine and who are on dialysis, a process of cleaning the blood of a person whose kidneys are not working normally. Plasma samples are collected over an 8-day period after a single oral (by mouth) dose of gabapentin is given. Plasma samples before and after being filtered, as well as dialysis fluid, are collected during dialysis sessions performed 2, 4, and 7 days after receiving the gabapentin dose. An average maximum amount of gabapentin in plasma is achieved at 4.7 hours after the dose. The time it takes for the concentration of the gabapentin in the plasma to be reduced by half on non-dialysis days averages 132 hours. About 35% of gabapentin dose is recovered in dialysis fluid, and the average clearance of gabapentin in dialysis was 142 milliliters per minute. The time it takes for the concentration of the gabapentin in the plasma to be reduced by half during dialysis is about 4 hours. Gabapentin concentrations in the plasma increased about 30% during the first 2 hours after dialysis as a result of the drug being sent to other parts of the body. It is recommended that patients with end-stage kidney disease who are on dialysis receive a starting 300-mg to 400-mg gabapentin dose. Plasma gabapentin concentrations can remain stable by giving 200 to 300 mg of gabapentin after every 4 hours of dialysis.","Gabapentin is an antiseizure drug, which in man is cleared just by kidney removal and is not bound to blood proteins. Because gabapentin clearance is dependent on kidney function, the drug activity of gabapentin was investigated in patients unable to make urine and maintained on artifical kidney machines or hemodialysis. We took blood samples over an 8-day period after treatment of single 400-mg swallowed doses of gabapentin. Blood and kidney solution samples were obtained during treatment sessions performed 2, 4, and 7 days after dosing. An average maximum gabapentin blood level of 6.0 micrograms/mL was measured at 4.7 hours after the dose. The time for half of gabapentin to clear on non-hemodialysis days was 132 hours. Around 35% of the gabapentin dose was recovered in the fluid of the artificial kidney machine. The average hemodialysis clearance of gabapentin was 142 mL/min; around 93% of the standard dialyzer clearance. The time for half of gabapentin to clear during hemodialysis was around 4 hours. Blood gabapentin levels increased around 30% during the first 2 hours after hemodialysis due to drug redistribution in the body. It is recommended that patients with kidney failure and on hemodialysis get an initial 300-mg to 400-mg gabapentin starting dose. Blood gabapentin levels can be maintained by giving 200 to 300 mg of gabapentin after every 4 hours of hemodialysis."
10,28141914,"Background: Hand osteoarthritis (OA) is a prevalent joint disease that may lead to pain, stiffness and problems in performing hand-related activities of daily living. Currently, no cure for OA is known, and non-pharmacological modalities are recommended as first-line care. A positive effect of exercise in hip and knee OA has been documented, but the effect of exercise on hand OA remains uncertain. Authors' conclusions: When we pooled results from five studies, we found low-quality evidence showing small beneficial effects of exercise on hand pain, function and finger joint stiffness. Estimated effect sizes were small, and whether they represent a clinically important change may be debated. One study reported quality of life, and the effect is uncertain. Three studies reported on adverse events, which were very few and were not severe.","Hand osteoarthritis is a common joint disease that may lead to pain, stiffness and problems in performing hand-related activities of daily living. Currently, no cure for osteoarthritis is known, and using treatment methods that do not involve medications for pain are recommended as first-line care. A positive effect of exercise in hip and knee osteoarthritis has been documented, but the effect of exercise on hand osteoarthritis remains uncertain. Researchers reviewed results from 5 studies and found low-quality evidence (the findings are difficult to interpret or are considered weak) showing small helpful effects of exercise on hand pain, function and finger joint stiffness. The relationship between hand osteoarthritis and exercise were small in these studies, and it is not clear if any medical practices should change based on these 5 studies. One study reported quality of life, and the effect is uncertain. Three studies reported on unexpected medical problems, which were very few and were not severe.",
12,31046968,"Several risk factors for asthma have been linked with exposures during pregnancy, making their true effects similarly hard to elucidate given the constraints of conducting research in this particular group, and the difficulty of interpreting any findings. A report published in Pediatrics outlined the effects of maternal and infant nutrition on the development of atopic disease (including asthma) in children, reflecting that multiple factors could act in concert to influence disease development. Maternal exposure to vitamin D has been investigated as a risk factor for childhood asthma and wheeze, with conflicting findings; several studies have reported that vitamin D could protect against asthma attacks or prevent worsening asthma symptoms. Many studies have investigated such associations with risk of disease, but the reporting in the media of the study findings often leaves much to be desired in terms of nuance and balance.","Several risk factors for developing asthma are linked with being exposed to certain things during pregnancy. Because conducting research on pregnant women is limited and findings are difficult to interpret, understanding these exposures is challenging. A report published in a scientific journal called Pediatrics outlined the effects of the mother's and infant's nutrition on developing atopic diseases (a genetic tendency to develop an allergy), including asthma in children. Exposure by the mother to vitamin D as a risk for childhood asthma has been investigated, but the results clash. Some studies report that vitamin D may protect against asthma attacks or prevent asthma symptoms from getting worse. While many studies have investigated such links with the risk of developing a disease, the media often reports these findings without including details or other considerations.",
53,10535452,"The objective of this study was to evaluate whether first-degree relatives (FDRs) of patients with type 2 diabetes had abnormal circadian insulin secretion and, if so, whether this abnormality affected their glucose metabolism. Six African-American FDRs with normal glucose tolerance and 12 matched normal control subjects (who had no family history of diabetes) were exposed to 48 h of hyperglycemic clamping (approximately 12 mmol/l). Insulin secretion rates (ISRs) were determined by deconvolution of plasma C-peptide levels using individual C-peptide kinetic parameters. Detrending and smoothing of data (z-scores) and computation of autocorrelation functions were used to identify ISR cycles. During the initial hours after start of glucose infusions, ISRs were approximately 60% higher in FDRs than in control subjects (585 vs. 366 nmol/16 h, P < 0.05), while rates of glucose uptake were the same (5.6 mmol x kg(-1) x h(-1)), indicating that the FDRs were insulin resistant. Control subjects had well-defined circadian (24 h) cycles of ISR and plasma insulin that rose in the early morning, peaked in the afternoon, and declined during the night. In contrast, FDRs had several shorter ISR cycles of smaller amplitude that lacked true periodicity. This suggested that the lack of a normal circadian ISR increase had made it impossible for the FDRs to maintain their compensatory insulin hypersecretion beyond 18 h of hyperglycemia. As a result, ISR decreased to the level found in control subjects, and glucose uptake fell below the level of control subjects (61 vs. 117 micromol x kg(-1) x min(-1), P < 0.05). In summary, we found that FDRs with normal glucose tolerance had defects in insulin action and secretion. The newly recognized insulin secretory defect consisted of disruption of the normal circadian ISR cycle, which resulted in reduced insulin secretion (and glucose uptake) during the ascending part of the 24 h ISR cycle.","Insulin secretion is the body's release of insulin, the hormone that helps control blood sugar and metabolism. The objective of this study is to evaluate whether first-degree relatives (a person's parent, sibling, or child) of patients with type 2 diabetes have abnormal 24 hour insulin secretion and, if so, whether this abnormality affected their glucose metabolism. Six African-American first-degree relatives with normal blood sugar level and 12 normal control participants (who had no family history of diabetes) were exposed to 48 hours of hyperglycemic clamping, a technique to keep blood sugar levels stable. Insulin secretion rates (ISRs) are determined by calculating plasma C-peptide levels, which are substances that signal if the body is creating insulin. During the initial hours after giving people infusions of sugar (glucose), insulin secretion rates are about 60% higher in first-degree relatives than in the comparison (control) subjects, while rates of sugar uptake are the same. This finding suggests that the first-degree relatives are insulin resistant, which is when the body doesn't respond well to the insulin hormone and can't use blood sugar for energy. Control subjects have well-defined 24 hour cycles of insulin secretion rates and plasma insulin that increase in the early morning, peak in the afternoon, and decline during the night. In contrast, first-degree relatives have several shorter insulin secretion rate cycles. This suggests that the lack of a normal increase in the 24 hour insulin secretion rate makes it impossible for the first-degree relatives to keep their insulin excess secretion beyond 18 hours of hyperglycemia (high blood sugar). As a result, insulin secretion rate decreased to the level found in control subjects, and blood sugar uptake fell below the level of control subjects. In summary, researchers found that first-degree relatives with normal blood sugar levels had defects in insulin action and secretion. The new insulin secretory defect includes disrupting the normal 24 hour insulin secretion rate cycle, which resulted in reduced insulin secretion (and blood sugar uptake) during the upward part of the 24 hour insulin secretion rate cycle.",
13,26048677,"Introduction: Sleep apnea-hypopnea syndrome (SAHS) is one of the extracardiac reasons of atrial fibrillation (AF), and the prevalence of AF is high in SAHS-diagnosed patients. Nocturnal hypoxemia is associated with AF, pulmonary hypertension, and nocturnal death. The rate of AF recurrence is high in untreated SAHS-diagnosed patients after cardioversion (CV). In this study, we present a patient whose SAHS was diagnosed with an apnea test performed in the intensive care unit (ICU) and who did not develop recurrent AF after the administration of standard AF treatment and bi-level positive airway pressure (BiPAP). Case presentation: A 57-year-old male hypertensive Caucasian patient who was on medical treatment for 1.5 months for non-organic AF was admitted to the ICU because of high-ventricular response AF (170 per minute), and sinus rhythm was maintained during the CV that was performed two times every second day. The results of the apnea test performed in the ICU on the same night after the second CV were as follows: apnea-hypopnea index (AHI) of 71 per hour, minimum peripheral oxygen saturation (SpO2) of 67%, and desaturation period (SpO2 of less than 90%) of 28 minutes. The patient was discharged with medical treatment and nocturnal BiPAP treatment. The results of the apnea test performed under BiPAP on the sixth month were as follows: AHI of 1 per hour, desaturation period of 1 minute, and minimum SpO2 of 87%. No recurrent AF developed in the patient, and his medical treatment was reduced within 6 months. After gastric bypass surgery on the 12th month, nocturnal hypoxia and AF did not re-occur. Thus, BiPAP and medical treatments were ended. Conclusions: SAHS can be diagnosed by performing an apnea test in the ICU. SAHS should be investigated in patients developing recurrent AF after CV. Recovery of nocturnal hypoxia may increase the success rate of standard AF treatment.","Sleep apnea-hypopnea syndrome (SAHS) (a sleep disorder of recurring episodes of partial or complete upper airway collapse during sleep) is one of the causes of atrial fibrillation (AF) (a fluttery and irregular heartbeat that can lead to blood clots or stroke). The occurrence of AF is high in SAHS-diagnosed patients. Nocturnal hypoxemia (a temporary drop in oxygen while sleeping) is associated with AF, pulmonary hypertension (high blood pressure affecting the arteries in the lungs and heart), and nocturnal death (death in sleep caused by sudden cardiac death). The frequency of AF recurring is high in people with untreated SAHS after cardioversion, a procedure used to return an irregular or very fast heartbeat to a normal rhythm. This study summarizes the case of a patient with SAHS diagnosed by an apnea test (monitoring of breathing and oxygen) and who did not develop recurring (chronic) atrial fibrillation after receiving standard treatment and the bi-level positive airway pressure (BiPAP), a ventilator used to maintain a consistent breathing pattern (often used at night). A 57-year old male patient who was on treatment for 1.5 months for AF was admitted to the hospital because of a high, irregular heart beat. The sinus rhythm (the pattern of your heartbeat based on the sinus node of your heart which sends out electrical pulses) was steady during the cardioversion procedure. Heart and oxygen tests were performed in the hospital after the second cardioversion. The patient was sent home with medical treatment and a nocturnal BiPAP. No recurring atrial fibrillation developed in the patient, and his medical treatment was reduced within 6 months. After gastric bypass surgery on the 12th month, nocturnal hypoxia and atrial fibrillation did not re-occur. Because they did not recur, the BiPAP and medical treatments were ended. In conclusion, SAHS can be diagnosed by performing an apnea test in the hospital. SAHS should be investigated in patients developing recurring atrial fibrillation after a cardioversion procedure. Recovery of nocturnal hypoxia may increase the success of standard atrial fibrillation treatment.",
11,31161145,"Pyruvate dehydrogenase complex deficiency (PDCD) is a rare neurodegenerative disorder associated with abnormal mitochondrial metabolism. Structural brain abnormalities are common in PDCD. A case of a patient with PDCD with an unusual presentation is described. A 20-month-old boy with hypotonia and developmental delay, presented with hypoxia and respiratory distress due to bronchiolitis. During hospitalisation, he was prescribed PediaSure® feeds. Two days after starting these feeds, he developed respiratory arrest requiring intubation. His blood gas before arrest revealed lactate of 8.9 mmol/L despite normal haemodynamics. After stabilisation and a period of compulsory fasting, subsequent feeding with PediaSure® resulted in the recurrence of lactic acidosis. A metabolic workup revealed an elevated serum pyruvate level. Brain MRI was normal. Skeletal muscle biopsy confirmed PDCD. The most common cause of PDCD is a mutation in the X-linked PDHA1 gene. The severity of PDCD can range from neonatal death to more delayed onset of symptoms as in our index case. Normal brain MRI is reported in only 2% of patients with PDCD. There is no effective treatment for PDCD. In patients with proximal muscle weakness and feeding intolerance with glucose-containing feeds, the presence of lactic acidosis should raise the suspicion of PDCD irrespective of the patient's age and normal MRI.","Pyruvate dehydrogenase complex deficiency (PDCD) or shortage is a rare disorder that can impact metabolism and lead to problems in the brain and nerves. Structural brain abnormalities are common in PDCD. A case of a patient with PDCD is described. A 20-month-old boy with hypotonia (low muscle tone) and developmental delay, was seen by doctors and also had hypoxia (low levels of oxygen in tissues) and trouble breathing due to bronchiolitis (a lung infection). While in the hospital, he was prescribed PediaSure® feeds, a child formula or nutritional food product. Two days after starting these feeds, he stopped breathing and needed a tube inserted in his throat to help him breathe. After being stable and fasting (no food or drinks), feeding with PediaSure® resulted in the recurrence of lactic acidosis (lactic acid build up that can cause nausea, vomiting, and breathing problem). The MRI (scanned image) of the brain was normal. Pyruvate dehydrogenase complex deficiency (PDCD) was confirmed by viewing the muscle tissue under a microscope. The most common cause of PDCD is a mutation in one of the genes called PDHA1 (a gene that encodes a building block of PCD). The seriousness of PDCD can range from infant death to more delayed onset of symptoms as in the child case described here. A normal brain MRI is reported in only 2% of patients with PDCD. There is no effective treatment for PDCD. In patients with muscle weakness and who are unable to eat foods with glucose, the presence of lactic acidosis should raise the suspicion of PDCD regardless of the patient's age and normal MRI.",
